accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss,learning_rate
0.9358275532722473,0.7763755321502686,0.0815461277961731,0.9384554624557495,0.7690892219543457,0.08315511792898178,1.9999999494757503e-05
0.935738205909729,0.7779392600059509,0.08135342597961426,0.9405715465545654,0.7766695618629456,0.0818951353430748,1.9999999494757503e-05
0.936108410358429,0.7779349684715271,0.0806676596403122,0.9391591548919678,0.7717052698135376,0.08226098865270615,1.9999999494757503e-05
0.936019241809845,0.7791736721992493,0.0801595151424408,0.9400814771652222,0.7761614918708801,0.08053015172481537,1.9999999494757503e-05
0.9366328120231628,0.7794955968856812,0.07950016111135483,0.939365804195404,0.773281991481781,0.08105835318565369,1.9999999494757503e-05
0.9370591044425964,0.7838389873504639,0.07756423950195312,0.9388647079467773,0.772382378578186,0.08046135306358337,1.9999999494757503e-05
0.9373453855514526,0.7847303748130798,0.07733789831399918,0.9386972784996033,0.7716072201728821,0.08054560422897339,1.9999999494757503e-05
0.9373044967651367,0.7847035527229309,0.07675715535879135,0.9398892521858215,0.7760523557662964,0.07961675524711609,3.999999989900971e-06
0.9374026656150818,0.7840483784675598,0.07710807025432587,0.9397812485694885,0.7757667303085327,0.07949397712945938,3.999999989900971e-06
0.9372469186782837,0.783031702041626,0.07647699117660522,0.9401242136955261,0.7772091031074524,0.07916203141212463,3.999999989900971e-06
0.9380342364311218,0.7854607701301575,0.07648767530918121,0.9399141073226929,0.7766450643539429,0.0789429247379303,3.999999989900971e-06
0.9374695420265198,0.7860136032104492,0.07609041035175323,0.939581036567688,0.7750810384750366,0.07949177920818329,3.999999989900971e-06
0.937695324420929,0.7859017848968506,0.07640977948904037,0.9399247169494629,0.7767143845558167,0.07883851230144501,3.999999989900971e-06
0.9377275109291077,0.7864733338356018,0.07594173401594162,0.9398507475852966,0.7765260934829712,0.07878982275724411,3.999999989900971e-06
0.9375,0.7839465141296387,0.07551246136426926,0.9402769804000854,0.7779226899147034,0.07876528054475784,3.999999989900971e-06
0.9381862878799438,0.7881025671958923,0.07604596763849258,0.9403231739997864,0.7781897187232971,0.07854887843132019,3.999999989900971e-06
0.9377118349075317,0.78737473487854,0.07552771270275116,0.9404272437095642,0.7786074280738831,0.07850247621536255,3.999999989900971e-06
0.9376600980758667,0.7862907648086548,0.07561855763196945,0.9405103325843811,0.778976321220398,0.07838194072246552,3.999999989900971e-06
0.9380520582199097,0.7865620255470276,0.07539942115545273,0.9404635429382324,0.7788801193237305,0.07831500470638275,3.999999989900971e-06
0.9380793571472168,0.7874996066093445,0.07525372505187988,0.9404391050338745,0.7790096998214722,0.07799676805734634,3.999999989900971e-06
0.9379208087921143,0.7872854471206665,0.07535330206155777,0.9407735466957092,0.7801452279090881,0.07800370454788208,3.999999989900971e-06
0.9383752942085266,0.7877139449119568,0.07565871626138687,0.940626323223114,0.7798870801925659,0.07772880047559738,3.999999989900971e-06
0.9376686215400696,0.7868726849555969,0.07512346655130386,0.9402759075164795,0.7783073782920837,0.07814086973667145,3.999999989900971e-06
0.9385337829589844,0.7899228930473328,0.07485764473676682,0.9399437308311462,0.7775506973266602,0.07780630141496658,3.999999989900971e-06
0.9379350543022156,0.7866396307945251,0.07427643984556198,0.9406790733337402,0.7799639701843262,0.07772007584571838,3.999999989900971e-06
0.9385325908660889,0.7890543341636658,0.0747767984867096,0.9400801658630371,0.7781635522842407,0.07756901532411575,3.999999989900971e-06
0.9380029439926147,0.7893512845039368,0.07411812245845795,0.9402899146080017,0.7788783311843872,0.07747243344783783,8.000000093488779e-07
0.9381722807884216,0.7881999015808105,0.0743744745850563,0.9403080344200134,0.7789062261581421,0.07751069962978363,8.000000093488779e-07
0.9380942583084106,0.7872488498687744,0.07523541152477264,0.9403427839279175,0.7790196537971497,0.0775417611002922,8.000000093488779e-07
0.9383445382118225,0.7878629565238953,0.0748375952243805,0.9404498934745789,0.7794190049171448,0.07746981084346771,8.000000093488779e-07
0.9383326172828674,0.788547694683075,0.0745774433016777,0.9403888583183289,0.7791867256164551,0.07750346511602402,8.000000093488779e-07
0.9384126663208008,0.7898917198181152,0.07415952533483505,0.9404017925262451,0.7792137265205383,0.0775238648056984,1.5999999902760464e-07
0.9383149147033691,0.7893308997154236,0.07478780299425125,0.9404606223106384,0.7794392704963684,0.07748374342918396,1.5999999902760464e-07
0.9382542967796326,0.7877092957496643,0.07524558156728745,0.94046950340271,0.7794756293296814,0.07746496051549911,1.5999999902760464e-07
0.9383362531661987,0.7866164445877075,0.0749427005648613,0.9404407143592834,0.7793763875961304,0.07746386528015137,1.5999999902760464e-07
0.9384010434150696,0.7896005511283875,0.07461308687925339,0.9404677748680115,0.7794882655143738,0.0774298906326294,1.5999999902760464e-07
